
Regrown reweighted puf, lsq method, compared to IRS values, run on 2020-11-16

Data are for filers only, using IRS filing requirements plus estimates of likely filing.

This report is in 3 sections:
  1. Summary report for all variables, summarized over all filers
  2. Detailed report by AGI range for each variable
  3. Table that provides details on puf variables and their mappings to irs data

1. Summary report for all variables, summarized over all filers:

     common_stub         pufvar              target                 puf             diff  pdiff  ipdiff                                                                    column_description
574          0.0  e26270neg_nnz  2,872,745  2,872,745    0   0.0%    8.1%  Number of returns with partnership or S corporation net loss
98           1.0  e26270neg_nnz    373,747    373,747    0   0.0%   -8.4%  Number of returns with partnership or S corporation net loss
30           2.0  e26270neg_nnz     69,107     69,107    0   0.0%  -32.2%  Number of returns with partnership or S corporation net loss
132          3.0  e26270neg_nnz     59,219     59,219    0   0.0%   17.8%  Number of returns with partnership or S corporation net loss
302          4.0  e26270neg_nnz     54,968     54,968   -0  -0.0%  -17.6%  Number of returns with partnership or S corporation net loss
268          5.0  e26270neg_nnz     54,237     54,237    0   0.0%   25.7%  Number of returns with partnership or S corporation net loss
506          6.0  e26270neg_nnz     65,233     65,233    0   0.0%  -17.2%  Number of returns with partnership or S corporation net loss
540          7.0  e26270neg_nnz    115,428    115,428    0   0.0%   16.0%  Number of returns with partnership or S corporation net loss
608          8.0  e26270neg_nnz    137,185    137,185   -0  -0.0%   -7.5%  Number of returns with partnership or S corporation net loss
438          9.0  e26270neg_nnz    324,532    324,532   -0  -0.0%    0.2%  Number of returns with partnership or S corporation net loss
472         10.0  e26270neg_nnz    311,410    311,410    0   0.0%   11.7%  Number of returns with partnership or S corporation net loss
336         11.0  e26270neg_nnz    701,622    701,622    0   0.0%   18.0%  Number of returns with partnership or S corporation net loss
64          12.0  e26270neg_nnz    406,948    406,948    0   0.0%   18.0%  Number of returns with partnership or S corporation net loss
404         13.0  e26270neg_nnz    111,970    111,970    0   0.0%   16.4%  Number of returns with partnership or S corporation net loss
200         14.0  e26270neg_nnz     31,954     31,954   -0  -0.0%   18.8%  Number of returns with partnership or S corporation net loss
234         15.0  e26270neg_nnz     15,383     15,383   -0  -0.0%   24.2%  Number of returns with partnership or S corporation net loss
370         16.0  e26270neg_nnz     25,811     25,811   -0  -0.0%   19.0%  Number of returns with partnership or S corporation net loss
166         17.0  e26270neg_nnz      7,902      7,902   -0  -0.0%   41.1%  Number of returns with partnership or S corporation net loss
642         18.0  e26270neg_nnz      6,089      6,089   -0  -0.0%   15.1%  Number of returns with partnership or S corporation net loss

     common_stub  pufvar           target              puf            diff   pdiff  ipdiff              column_description
544          0.0  c17000  102,533,387,000  105,467,570,027   2,934,183,027    2.9%   -4.8%  Total medical expenses, capped
68           1.0  c17000    2,083,179,000      828,166,879  -1,255,012,121  -60.2%  -98.8%  Total medical expenses, capped
0            2.0  c17000    2,740,757,000      267,619,355  -2,473,137,645  -90.2%  -98.3%  Total medical expenses, capped
102          3.0  c17000    4,125,665,000    2,082,210,640  -2,043,454,360  -49.5%  -63.2%  Total medical expenses, capped
272          4.0  c17000    3,751,696,000    2,906,975,259    -844,720,741  -22.5%  -18.8%  Total medical expenses, capped
238          5.0  c17000    5,229,600,000    3,665,170,420  -1,564,429,580  -29.9%  -35.7%  Total medical expenses, capped
476          6.0  c17000    4,945,427,000    5,307,393,824     361,966,824    7.3%   -0.0%  Total medical expenses, capped
510          7.0  c17000    8,597,500,000    8,061,166,554    -536,333,446   -6.2%   -3.1%  Total medical expenses, capped
578          8.0  c17000    7,853,577,000    7,772,731,074     -80,845,926   -1.0%    8.9%  Total medical expenses, capped
408          9.0  c17000   20,123,676,000   22,662,175,208   2,538,499,208   12.6%    6.7%  Total medical expenses, capped
442         10.0  c17000   15,143,374,000   16,930,573,688   1,787,199,688   11.8%   10.5%  Total medical expenses, capped
306         11.0  c17000   20,972,018,000   24,465,063,247   3,493,045,247   16.7%    4.0%  Total medical expenses, capped
34          12.0  c17000    6,097,123,000    9,848,304,363   3,751,181,363   61.5%   12.1%  Total medical expenses, capped
374         13.0  c17000      557,017,000      478,967,915     -78,049,085  -14.0%   14.4%  Total medical expenses, capped
170         14.0  c17000      180,241,000      102,009,833     -78,231,167  -43.4%  -24.8%  Total medical expenses, capped
204         15.0  c17000       66,152,000       37,598,830     -28,553,170  -43.2%  -28.3%  Total medical expenses, capped
340         16.0  c17000       51,442,000       43,539,443      -7,902,557  -15.4%   15.1%  Total medical expenses, capped
136         17.0  c17000       14,940,000        7,903,495      -7,036,505  -47.1%  -62.9%  Total medical expenses, capped
612         18.0  c17000                0                0               0    nan%    nan%  Total medical expenses, capped

     common_stub      pufvar      target         puf      diff   pdiff  ipdiff                                     column_description
545          0.0  c17000_nnz  10,171,257  10,406,929   235,672    2.3%   -3.2%  Number of returns with total medical expenses, capped
69           1.0  c17000_nnz     212,297     167,697   -44,600  -21.0%  -96.9%  Number of returns with total medical expenses, capped
1            2.0  c17000_nnz     306,402      74,735  -231,667  -75.6%  -95.3%  Number of returns with total medical expenses, capped
103          3.0  c17000_nnz     447,636     307,647  -139,989  -31.3%  -53.7%  Number of returns with total medical expenses, capped
273          4.0  c17000_nnz     448,125     413,853   -34,272   -7.6%  -23.8%  Number of returns with total medical expenses, capped
239          5.0  c17000_nnz     516,835     427,797   -89,038  -17.2%  -25.5%  Number of returns with total medical expenses, capped
477          6.0  c17000_nnz     537,846     538,873     1,027    0.2%    0.8%  Number of returns with total medical expenses, capped
511          7.0  c17000_nnz   1,014,838     996,120   -18,718   -1.8%   -3.8%  Number of returns with total medical expenses, capped
579          8.0  c17000_nnz     930,912     968,565    37,653    4.0%    9.9%  Number of returns with total medical expenses, capped
409          9.0  c17000_nnz   2,172,724   2,322,904   150,180    6.9%    8.1%  Number of returns with total medical expenses, capped
443         10.0  c17000_nnz   1,490,416   1,717,269   226,853   15.2%   16.2%  Number of returns with total medical expenses, capped
307         11.0  c17000_nnz   1,821,297   2,115,430   294,133   16.1%    7.5%  Number of returns with total medical expenses, capped
35          12.0  c17000_nnz     258,702     344,268    85,566   33.1%   14.7%  Number of returns with total medical expenses, capped
375         13.0  c17000_nnz      10,654      10,157      -497   -4.7%   10.8%  Number of returns with total medical expenses, capped
171         14.0  c17000_nnz       1,791       1,058      -733  -40.9%  -18.6%  Number of returns with total medical expenses, capped
205         15.0  c17000_nnz         434         238      -196  -45.2%    5.8%  Number of returns with total medical expenses, capped
341         16.0  c17000_nnz         317         290       -27   -8.4%   16.5%  Number of returns with total medical expenses, capped
137         17.0  c17000_nnz          30          27        -3  -11.4%  -20.4%  Number of returns with total medical expenses, capped
613         18.0  c17000_nnz           0           0         0    nan%    nan%  Number of returns with total medical expenses, capped

     common_stub  pufvar           target              puf   diff  pdiff  ipdiff    column_description
565          0.0  c18300  624,820,806,000  624,820,807,000  1,000   0.0%    2.9%  Taxes paid deduction
89           1.0  c18300    1,187,308,000    1,187,308,000     -0  -0.0%  -85.9%  Taxes paid deduction
21           2.0  c18300    1,380,137,000    1,380,137,000      0   0.0%  -87.9%  Taxes paid deduction
123          3.0  c18300    2,237,396,000    2,237,396,000     -0  -0.0%  -41.8%  Taxes paid deduction
293          4.0  c18300    2,600,280,000    2,600,280,000     -0  -0.0%  -25.5%  Taxes paid deduction
259          5.0  c18300    3,165,743,000    3,165,743,000      0   0.0%   -8.8%  Taxes paid deduction
497          6.0  c18300    3,795,312,000    3,795,312,000     -0  -0.0%   10.4%  Taxes paid deduction
531          7.0  c18300    9,995,943,000    9,995,943,000     -0  -0.0%   -1.3%  Taxes paid deduction
599          8.0  c18300   13,372,101,000   13,372,101,000      0   0.0%    7.0%  Taxes paid deduction
429          9.0  c18300   43,745,198,000   43,745,198,000      0   0.0%   11.4%  Taxes paid deduction
463         10.0  c18300   53,779,029,000   53,779,029,000     -0  -0.0%    6.6%  Taxes paid deduction
327         11.0  c18300  173,508,491,000  173,508,491,000     -0  -0.0%   10.9%  Taxes paid deduction
55          12.0  c18300  135,599,463,000  135,599,463,000     -0  -0.0%   10.4%  Taxes paid deduction
395         13.0  c18300   52,780,559,000   52,780,559,000      0   0.0%    4.9%  Taxes paid deduction
191         14.0  c18300   21,061,358,000   21,061,358,000     -0  -0.0%    0.8%  Taxes paid deduction
225         15.0  c18300   12,159,703,000   12,159,703,000     -0  -0.0%    2.2%  Taxes paid deduction
361         16.0  c18300   30,750,520,000   30,750,520,000      0   0.0%   -6.3%  Taxes paid deduction
157         17.0  c18300   16,976,859,000   16,976,859,000      0   0.0%    1.5%  Taxes paid deduction
633         18.0  c18300   46,725,407,000   46,725,407,000      0   0.0%  -46.6%  Taxes paid deduction

     common_stub      pufvar      target         puf diff  pdiff  ipdiff                           column_description
569          0.0  c18300_nnz  46,431,232  46,431,232    0   0.0%    1.2%  Number of returns with taxes paid deduction
93           1.0  c18300_nnz     252,607     252,607   -0  -0.0%  -64.9%  Number of returns with taxes paid deduction
25           2.0  c18300_nnz     392,535     392,535   -0  -0.0%  -81.4%  Number of returns with taxes paid deduction
127          3.0  c18300_nnz     628,196     628,196   -0  -0.0%  -34.0%  Number of returns with taxes paid deduction
297          4.0  c18300_nnz     730,378     730,378   -0  -0.0%  -20.1%  Number of returns with taxes paid deduction
263          5.0  c18300_nnz     893,381     893,381    0   0.0%  -16.6%  Number of returns with taxes paid deduction
501          6.0  c18300_nnz   1,075,256   1,075,256    0   0.0%   -2.1%  Number of returns with taxes paid deduction
535          7.0  c18300_nnz   2,429,959   2,429,959    0   0.0%   -4.6%  Number of returns with taxes paid deduction
603          8.0  c18300_nnz   2,945,808   2,945,808   -0  -0.0%   -2.3%  Number of returns with taxes paid deduction
433          9.0  c18300_nnz   7,676,815   7,676,815   -0  -0.0%    3.1%  Number of returns with taxes paid deduction
467         10.0  c18300_nnz   7,122,807   7,122,807    0   0.0%    0.9%  Number of returns with taxes paid deduction
331         11.0  c18300_nnz  15,093,063  15,093,063    0   0.0%    6.4%  Number of returns with taxes paid deduction
59          12.0  c18300_nnz   5,799,775   5,799,775    0   0.0%    6.6%  Number of returns with taxes paid deduction
399         13.0  c18300_nnz     938,552     938,552    0   0.0%    5.9%  Number of returns with taxes paid deduction
195         14.0  c18300_nnz     202,165     202,165    0   0.0%    6.3%  Number of returns with taxes paid deduction
229         15.0  c18300_nnz      81,921      81,921    0   0.0%   11.8%  Number of returns with taxes paid deduction
365         16.0  c18300_nnz     118,517     118,517    0   0.0%    4.5%  Number of returns with taxes paid deduction
161         17.0  c18300_nnz      29,894      29,894    0   0.0%   18.9%  Number of returns with taxes paid deduction
637         18.0  c18300_nnz      19,603      19,603    0   0.0%   -1.9%  Number of returns with taxes paid deduction

     common_stub  pufvar           target              puf    diff  pdiff  ipdiff       column_description
564          0.0  c19200  313,944,112,000  313,944,111,000  -1,000  -0.0%   15.1%  Interest paid deduction
88           1.0  c19200      905,316,000      905,316,000       0   0.0%  -95.4%  Interest paid deduction
20           2.0  c19200    1,367,400,000    1,367,400,000       0   0.0%  -95.6%  Interest paid deduction
122          3.0  c19200    2,112,627,000    2,112,627,000       0   0.0%  -44.4%  Interest paid deduction
292          4.0  c19200    2,678,998,000    2,678,998,000      -0  -0.0%  -36.9%  Interest paid deduction
258          5.0  c19200    2,935,335,000    2,935,335,000       0   0.0%  -13.2%  Interest paid deduction
496          6.0  c19200    3,508,274,000    3,508,274,000      -0  -0.0%   13.3%  Interest paid deduction
530          7.0  c19200    8,954,927,000    8,954,927,000      -0  -0.0%   16.3%  Interest paid deduction
598          8.0  c19200   12,318,979,000   12,318,979,000       0   0.0%    5.8%  Interest paid deduction
428          9.0  c19200   36,871,581,000   36,871,581,000       0   0.0%   16.8%  Interest paid deduction
462         10.0  c19200   42,084,075,000   42,084,075,000      -0  -0.0%   12.7%  Interest paid deduction
326         11.0  c19200  108,901,809,000  108,901,809,000      -0  -0.0%   22.3%  Interest paid deduction
54          12.0  c19200   58,901,837,000   58,901,837,000      -0  -0.0%   25.0%  Interest paid deduction
394         13.0  c19200   14,521,291,000   14,521,291,000       0   0.0%   19.3%  Interest paid deduction
190         14.0  c19200    3,995,393,000    3,995,393,000      -0  -0.0%    9.9%  Interest paid deduction
224         15.0  c19200    1,959,456,000    1,959,456,000      -0  -0.0%   14.8%  Interest paid deduction
360         16.0  c19200    3,928,231,000    3,928,231,000       0   0.0%   -8.0%  Interest paid deduction
156         17.0  c19200    1,862,252,000    1,862,252,000       0   0.0%  -15.1%  Interest paid deduction
632         18.0  c19200    6,136,330,000    6,136,330,000       0   0.0%  -69.0%  Interest paid deduction

     common_stub      pufvar      target         puf     diff   pdiff  ipdiff                              column_description
548          0.0  c19200_nnz  34,327,403  35,191,328  863,925    2.5%    7.5%  Number of returns with interest paid deduction
72           1.0  c19200_nnz     135,863     195,232   59,369   43.7%  -91.9%  Number of returns with interest paid deduction
4            2.0  c19200_nnz     213,034     136,714  -76,320  -35.8%  -95.0%  Number of returns with interest paid deduction
106          3.0  c19200_nnz     348,951     336,483  -12,468   -3.6%  -42.2%  Number of returns with interest paid deduction
276          4.0  c19200_nnz     377,194     422,298   45,104   12.0%  -20.4%  Number of returns with interest paid deduction
242          5.0  c19200_nnz     433,960     495,582   61,622   14.2%   -2.1%  Number of returns with interest paid deduction
480          6.0  c19200_nnz     545,155     599,976   54,821   10.1%   15.7%  Number of returns with interest paid deduction
514          7.0  c19200_nnz   1,420,101   1,518,850   98,749    7.0%    6.5%  Number of returns with interest paid deduction
582          8.0  c19200_nnz   1,919,264   1,978,840   59,576    3.1%    3.1%  Number of returns with interest paid deduction
412          9.0  c19200_nnz   5,461,028   5,608,521  147,493    2.7%    9.7%  Number of returns with interest paid deduction
446         10.0  c19200_nnz   5,491,312   5,679,992  188,680    3.4%    5.7%  Number of returns with interest paid deduction
310         11.0  c19200_nnz  12,252,685  12,437,713  185,028    1.5%   11.5%  Number of returns with interest paid deduction
38          12.0  c19200_nnz   4,631,570   4,683,441   51,871    1.1%   12.3%  Number of returns with interest paid deduction
378         13.0  c19200_nnz     744,611     739,488   -5,123   -0.7%    7.5%  Number of returns with interest paid deduction
174         14.0  c19200_nnz     156,617     158,926    2,309    1.5%    8.2%  Number of returns with interest paid deduction
208         15.0  c19200_nnz      63,769      64,585      816    1.3%   13.0%  Number of returns with interest paid deduction
344         16.0  c19200_nnz      92,410      94,172    1,762    1.9%    5.2%  Number of returns with interest paid deduction
140         17.0  c19200_nnz      23,726      23,790       64    0.3%   17.7%  Number of returns with interest paid deduction
616         18.0  c19200_nnz      16,151      16,726      575    3.6%   -0.9%  Number of returns with interest paid deduction

     common_stub  pufvar           target              puf    diff  pdiff  ipdiff       column_description
558          0.0  c19700  256,064,685,000  256,064,682,000  -3,000  -0.0%   -1.5%  Contributions deduction
82           1.0  c19700      105,239,000      105,239,000       0   0.0%  -61.1%  Contributions deduction
14           2.0  c19700      425,639,000      425,639,000      -0  -0.0%  -93.1%  Contributions deduction
116          3.0  c19700      774,188,000      774,188,000      -0  -0.0%  -34.6%  Contributions deduction
286          4.0  c19700    1,143,844,000    1,143,844,000      -0  -0.0%  -33.5%  Contributions deduction
252          5.0  c19700    1,553,437,000    1,553,437,000       0   0.0%  -21.1%  Contributions deduction
490          6.0  c19700    1,999,540,000    1,999,540,000      -0  -0.0%    3.5%  Contributions deduction
524          7.0  c19700    5,153,077,000    5,153,077,000      -0  -0.0%   -2.2%  Contributions deduction
592          8.0  c19700    6,388,891,000    6,388,891,000       0   0.0%    4.2%  Contributions deduction
422          9.0  c19700   19,356,092,000   19,356,092,000       0   0.0%   18.0%  Contributions deduction
456         10.0  c19700   21,105,908,000   21,105,908,000      -0  -0.0%   20.9%  Contributions deduction
320         11.0  c19700   57,104,129,000   57,104,129,000      -0  -0.0%   26.0%  Contributions deduction
48          12.0  c19700   40,064,781,000   40,064,781,000      -0  -0.0%   22.0%  Contributions deduction
388         13.0  c19700   17,677,496,000   17,677,496,000       0   0.0%    3.2%  Contributions deduction
184         14.0  c19700    8,138,284,000    8,138,284,000      -0  -0.0%  -11.7%  Contributions deduction
218         15.0  c19700    5,155,644,000    5,155,644,000      -0  -0.0%  -13.6%  Contributions deduction
354         16.0  c19700   13,810,659,000   13,810,659,000       0   0.0%  -16.5%  Contributions deduction
150         17.0  c19700    9,046,529,000    9,046,529,000       0   0.0%  -14.9%  Contributions deduction
626         18.0  c19700   47,061,305,000   47,061,305,000      -0  -0.0%  -62.7%  Contributions deduction

     common_stub      pufvar      target         puf      diff  pdiff  ipdiff                              column_description
549          0.0  c19700_nnz  37,979,015  38,201,748   222,733   0.6%    3.7%  Number of returns with contributions deduction
73           1.0  c19700_nnz     156,684     199,690    43,006  27.4%  -60.3%  Number of returns with contributions deduction
5            2.0  c19700_nnz     266,852     363,583    96,731  36.2%  -79.7%  Number of returns with contributions deduction
107          3.0  c19700_nnz     427,700     413,941   -13,759  -3.2%  -36.3%  Number of returns with contributions deduction
277          4.0  c19700_nnz     501,964     514,377    12,413   2.5%  -22.9%  Number of returns with contributions deduction
243          5.0  c19700_nnz     611,092     629,872    18,780   3.1%  -15.2%  Number of returns with contributions deduction
481          6.0  c19700_nnz     773,047     770,188    -2,859  -0.4%   -1.7%  Number of returns with contributions deduction
515          7.0  c19700_nnz   1,798,000   1,756,616   -41,384  -2.3%   -5.9%  Number of returns with contributions deduction
583          8.0  c19700_nnz   2,177,413   2,197,014    19,601   0.9%    0.3%  Number of returns with contributions deduction
413          9.0  c19700_nnz   6,000,705   5,891,865  -108,840  -1.8%    3.9%  Number of returns with contributions deduction
447         10.0  c19700_nnz   5,729,229   5,778,540    49,311   0.9%    4.6%  Number of returns with contributions deduction
311         11.0  c19700_nnz  12,971,310  13,080,551   109,241   0.8%    8.9%  Number of returns with contributions deduction
39          12.0  c19700_nnz   5,250,599   5,269,686    19,087   0.4%    8.6%  Number of returns with contributions deduction
379         13.0  c19700_nnz     881,904     896,522    14,618   1.7%    7.1%  Number of returns with contributions deduction
175         14.0  c19700_nnz     191,989     196,112     4,123   2.1%    7.8%  Number of returns with contributions deduction
209         15.0  c19700_nnz      78,439      79,833     1,394   1.8%   12.1%  Number of returns with contributions deduction
345         16.0  c19700_nnz     113,925     114,745       820   0.7%    5.2%  Number of returns with contributions deduction
141         17.0  c19700_nnz      29,024      29,359       335   1.2%   19.4%  Number of returns with contributions deduction
617         18.0  c19700_nnz      19,142      19,253       111   0.6%   -2.3%  Number of returns with contributions deduction


3. Detailed report on variable mappings

           pufvar                  irsvar                                                                                                                                                        table_description                                                                    column_description           src excel_column
0        nret_all                nret_all                                                            Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income                                                                     Number of returns  17in11si.xls            B
1           mars1             nret_single                                        Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status                                                   Number of returns of single persons  17in12ms.xls           BB
2           mars2              nret_mfjss                                        Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status  Number of returns of married persons filing jointly and returns of surviving spouses  17in12ms.xls            O
3           mars3                nret_mfs                                        Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status                                Number of returns of married persons filing separately  17in12ms.xls           AB
4           mars4                nret_hoh                                        Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status                                              Number of returns of heads of households  17in12ms.xls           AO
5          c00100                     agi                                                            Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income                                                    Adjusted gross income less deficit  17in11si.xls            D
6          e00200                   wages                                                                 Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income                                                                    Salaries and wages  17in14ar.xls            G
7      e00200_nnz              nret_wages                                                                 Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income                                             Number of returns with salaries and wages  17in14ar.xls            F
8          e00300                  taxint                                                                 Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income                                                                      Taxable interest  17in14ar.xls            I
9      e00300_nnz             nret_taxint                                                                 Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income                                               Number of returns with taxable interest  17in14ar.xls            H
10         e00600                  orddiv                                                                 Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income                                                                    Ordinary dividends  17in14ar.xls            M
11     e00600_nnz             nret_orddiv                                                                 Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income                                             Number of returns with ordinary dividends  17in14ar.xls            L
12      c01000pos                 cggross                                                                 Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income                                                           Capital gains gross taxable  17in14ar.xls           AA
13  c01000pos_nnz            nret_cggross                                                                 Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income                                    Number of returns with capital gains gross taxable  17in14ar.xls            Z
14      c01000neg                  cgloss                                                                 Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income                                                                  Capital loss taxable  17in14ar.xls           AC
15  c01000neg_nnz             nret_cgloss                                                                 Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income                                           Number of returns with capital loss taxable  17in14ar.xls           AB
16         e01500                pensions                                                                 Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income                                   Total pensions and annuities (including nontaxable)  17in14ar.xls           AK
17     e01500_nnz           nret_pensions                                                                 Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income            Number of returns with total pensions and annuities (including nontaxable)  17in14ar.xls           AJ
18         e02400               socsectot                                                                 Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income                                                        Total Social Security benefits  17in14ar.xls           BS
19     e02400_nnz          nret_socsectot                                                                 Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income                                 Number of returns with total Social Security benefits  17in14ar.xls           BR
20         c02500           socsectaxable                                                                 Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income                                                      Taxable Social Security benefits  17in14ar.xls           BU
21     c02500_nnz      nret_socsectaxable                                                                 Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income                               Number of returns with taxable Social Security benefits  17in14ar.xls           BT
22      e26270pos         partnerscorpinc                                                                 Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income                                               Partnership or S corporation net income  17in14ar.xls           BE
23  e26270pos_nnz    nret_partnerscorpinc                                                                 Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income                        Number of returns with partnership or S corporation net income  17in14ar.xls           BD
24      e26270neg        partnerscorploss                                                                 Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income                                                 Partnership or S corporation net loss  17in14ar.xls           BG
25  e26270neg_nnz   nret_partnerscorploss                                                                 Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income                          Number of returns with partnership or S corporation net loss  17in14ar.xls           BF
26         c17000       id_medical_capped  Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income                                                        Total medical expenses, capped  17in21id.xls           BN
27     c17000_nnz  nret_id_medical_capped  Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income                                 Number of returns with total medical expenses, capped  17in21id.xls           BM
28         c18300              id_taxpaid  Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income                                                                  Taxes paid deduction  17in21id.xls           BT
29     c18300_nnz         nret_id_taxpaid  Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income                                           Number of returns with taxes paid deduction  17in21id.xls           BS
30         c19200              id_intpaid  Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income                                                               Interest paid deduction  17in21id.xls           CH
31     c19200_nnz         nret_id_intpaid  Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income                                        Number of returns with interest paid deduction  17in21id.xls           CG
32         c19700        id_contributions  Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income                                                               Contributions deduction  17in21id.xls           CV
33     c19700_nnz   nret_id_contributions  Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income                                        Number of returns with contributions deduction  17in21id.xls           CU
